Rating,Review
negative,"Sorry but this one is not a keeper. Besides having no flavor,I dont know what I was thinking cooking the beans for an hour in the soupthere was nothing left but mush. I was disapointed"
negative,"I made this tonight for a benefit dinner and THANK GOD I made an extra one for home. It was HORRIBLE. I followed the recipe to a T and the sugar carmelized and turned to a burnt brown goo, well before the flour even bagan to set.My chickens even turned up their beaks at it. I'm sorry to be so critical but YUCK!"
negative,I love all of these ingredients separately but together...It was incredibly harsh/acrid to the taste buds.
negative,"Way too much batter for one pan but I did put it all in one pan, against my better judgement, and it never got done. The batter was so good though that I will try it again in two 9x5 bread pans or a bundt pan and bake at 350 degrees for an hour like you normally would."
negative,Not good. Way to much vinegar and nothing much after that.
negative,This was not at all what I expected. I followed the recipe EXACTLY and I did not care for the flavor or texture. The worcestershire was overpowering. i had about 5 bites and had to throw out the entire batch. I will not be making this again.
negative,"I had very high expectations after reading the reviews...I can't believe no one said waaay toooo much soup! I followed the directions, except for adding a second can of clams... even with the extra clams, all I taste is the soup. I'm headed to the store to buy 2 more cans of clams in hopes to salvage what I have here."
negative,"Sorry, but this was completely flat.No one would eat it."
negative,"I was really looking forward to these, but we were quite disappointed.I followed the recipe exactly, but the batter was really bland.I added a little nutmeg and allspice and some more cinnamon.The batter was very runny for donuts, but I hoped it would thicken up when chilled.When I tried to roll out the chilled dough, it was not really dough, but still thick batter.I couldn't make donuts because it wasn't thick enough.We made all donut holes, and they were extremely bland."
negative,Tried out making the ravioli before starting the sauce to make sure it would be a good meal (just in case we had to order takeout). Unfortunately the ravioli were not good at all. I honestly think it was the wonton wrappers. They were way too thick and gummy for a ravioli.
negative,i didnt have the same experience as the rest of u when it came to this recipe...i made it 3 times just to make sure i followed it correctly...
negative,"My usual recipe for aebelskivers is from the Make-a-Mix cookbook, which is out of print. It has you make pancake mix (with powdered buttermilk) and then add the wet ingredients. I was out of buttermilk powder, so I used this one, and it's just not anywhere near as good. For one, it doesn't call for salt, which was badly needed. For two, it didn't involve beating the egg whites separate from the yolks, which gives the aebelskivers a very light and airy texture; these were kind of heavy. I like the cardamom, but I'll just add it to my regular recipe."
negative,Followed recipe except ground hot pepper and did not like it at all. Just a kind of bitter bad taste.
negative,"This recipe, as written, does not work.I didn't have one 6oz box of chocolate pudding so I used one 4oz box of chocolate and two 1oz boxes of white chocolate pudding. Other than that I made as directed. Unfortunately, after baking for 1-1/2 hours the cakes were dried out and cracked; close to solid bricks. You could pick up the cake and eat it like a giant cookie (which my 16 yr old actually did to taste it). I've never before baked a cake (even a quick bread) for this amount of time so I suspect that the real problem with this recipe is the 1-1/2 hours bake time. If I see that it is adjusted in the future I would be willing to try this recipe again, but for now we're unemployed and I'm afraid it was a lot of ingredients that is just going in the trash. :( Made for Fall 2009 Pick A Chef. http://www.recipezaar.com/bb/viewtopic.zsp?t=310505andpostdays=0andpostorder=ascandstart=0"
negative,"I just made this recipe. There isn't enough milk and there is no way you can get 3 apples in this.I've added in total about 3/4 cup milk,and only one apple."
negative,"This did not turn out well for my family.Based on the other reviews, I cooked the chops for only 4 hours and they were still on the dry side.Also, based previous reviews, I was worried about the sodium.I didn't have low-sodium soy sauce so I halved the recommended amount and this recipe was still too salty.I really like the ease of preparation, but alas, this will not be going on the rotation."
negative,"Bland.Boring.Probably should have added vinegar but at the end of the day, it's cabbage, potatoes and kielbasa."
negative,"Sorry, this didn't work out for us at all!I did use natural peanut butter, so maybe that's why they didn't work.The recipe seems to suggest that any kind of peanut butter would work, but Smucker's natural PB doesn't work at all!I expect PB cookies to be a little crumbly in texture, but these could barely be picked up without crumbling to bits.They tasted okay, but they weren't as good as PB cookies made from other recipes that I've tried.This was the first time I've used a PB cookie recipe with so few ingredients, though.I'm glad I tried them, but I wouldn't make them again."
negative,"Well the house smelled wonderful while this was baking but the finished product was quite disappointing.My grand kids didn't like it at all. I thought it was ""okay""."
negative,"Wow, did it taste good! However, there must be a mistake with the recipe. Both times I made it, it comes out the consistency of sludge with chunks of butter marbled in it. I really dont' recommend this one"
positive,"Take 1 -Made as directed but the mix was way to soft to make into potato cakes (would recommend 1/4 cup of milk if any) so put the mix in a casserole dish and sprinkled with the wholemeal/wholegrain breadcrumbs and warmed in a low oven to warm the mix through and brown the breadcrumbs - great mash.Take 2 - had about a quarter of the mix over and though still delicate was able to make 6 potato cakes, though chilled well before cooking to firm them up and they took a matter of minutes to cook to a beautiful golden brown.In making the 6 I only used 1/2 and egg and about a cup of breadcrumbs, so would recommend 2 to 3 eggs and 4 cups of crumbs.Made a delightful snack as we watched telethon.Will be making again but will chill the mix before forming the cakes, thinking these could also be made up and frozen as a OAMC then just defrost and cook.Thank you Tisme, made for Edition 9 - Make My Recipe."
positive,Great tasting soup !!! I like the idea of baking the tomatoes.This soup has great great flavor.You may want to check the tomatoes after 20 minutes. Mine were done in 25.It made for excellent comfort food on this chilly night.Made for PRMR tag.
positive,Made these tonight and served with ice cream.All I have to say is DELICIOUS !!!! Will definately try again.Made for PRMR tag.
positive,"Great soup recipe!I did have a little cabbage in the fridge that needed using up, so I threw that in, as well.I figured everything else was in it, why not!Thnx for sharing your recipe, Shakespearette. Made for PAC Fall 2009."
positive,"This is very rich, moist and flavorful for being lower fat and sugar.The orange flavor is great and the added texture from the whole wheat flour is nice.I used walnuts, but I think almonds would be good also.Served with no-sugar added Cool Whip."
positive,"This is by far the best icing I have ever tasted. It's the perfect amount of sweetness combined with the amazing combo of peanut butter and chocolate. Much better than any buttercream in my opinion, with the added benefit of monounsaturated fats instead of saturated (hey, anything to make the most fattening food in the world better for you!)."
positive,"I doubled the recipe and made jumbo cupcakes for a bake sale and they sold out in a hurry. I used cake flour instead of all- purpose, increased to amount of cocoa to 1/4 cup and topped them with gobs of cream cheese frosting. There were lots of happy customers with a sugar high that day. Will use this recipe again and again. Update: I've also made a few 3-layer red velvet cakes using this recipe. My friends now say I make the best red velvet cake in town."
positive,Yum!!!
positive,WOW!This was incredible!I have to say that I was skeptical at first as I put the recipe together.But I had faith in the recipe and all the great reviews and it turned out great!I also used french vanilla pudding and it was fantastic!No one believed the recipe was so simple - it took me 10 minutes total to make this.Be sure to refrigerate overnight.This is a keeper - definitely a family favorite now
positive,"Excellent recipe. Very tasty! I like my cookies bigger than ""chips ahoy"" size. So this batch only made about 2 1/2 dozen vice 3. I think I will try this recipe with Nutella. Because no matter how good a recipe is I like to tweem 'em to see if I can make 'em even better."
positive,So good and healthy!!My BF loved these tacos.I reduced the marinade into a sauce (I simmered and boiled the sauce until the sauce thickened with a 1-2 tbl of cornstarch) and served a little sauce on top of the tacos.Thank you for this recipe.
positive,Really good!!! Everyone loved it!
positive,"This salad looks beautiful and is bursting with flavour. I can't think of a thing I would change. I used jarred roasted peppers, red kidney beans and grated cheddar cheese> 4 of us ate most of it and I enjoyed the little there was leftover for my lunch at work today. I think the flavours were even better after a night in the fridge."
positive,Loved this! One thing I especially enjoyed was removing the peel and pith from the lemons left a nice lemon flavour without that sort of harshness you can get from the rind sometimes. Only thing I did differently was serve with a salad but I imagine it would go really well with mashed potatoes as suggested too.
positive,"Delicious!!I took this cake to a B-B-Q this afternoon and it was a huge hit.I'm glad I took a piece for myself when I brought the cake out, because it was gone so fast that if I had waited I would have missed out.This cake was moist, rich, and oh so yummy!I baked this in two 9"" round cake pansand it tested done after about 32 mins.Thank you for sharing this wonderful recipe...it is definitely a keeper!!*Made for Fall 2009 PAC*"
positive,"Wow these were amazing. The spice balance was perfect. I did make some changes to the recipe. I used 50ml of oil instead of 80ml(next time will use less), and turmeric instead of paprika. I fried a chopped onion together with the garlic and after adding the spices I added some chopped tomatoes. I added around 100ml white wine and water to get enough sauce to serve over the rice. I left the shells on the prawns. I used 1kg of prawns to get two servings and there was none left. Thanks for posting, will make again."
positive,"One can always trust Kittencal's Recipes even if you've never made them before!! I've never made homemade marinara sauce before and this was just delicious!! I omitted the wine, used 1/2 the amount of tomatoes and 1 1/2 times the amount of the tomato paste.This was a great sauce that I will make everytime i want marinara sauce.I served it with Recipe#59359.Thanks Kittencal! "
