Rating,Review
negative,This recipe had the advantage of including ingredients I already had in the house.But it was way too bland for us.I even added an extra can of green chilies.I'll have to keep looking for a chicken enchilada recipe that we like.
negative,These have no flavor and were very dry. Are they supposed to have milk or something in them?
negative,"I followed this recipe exactly, measured carefully and it came out a gooey mess and just not good.I cooked it 25 minutes beyond the prescribed 1 hr at 350 degrees and it was still gooey and raw in the middle.I ended up throwing it out and will not be making this again."
negative,"Gross. I was very excited for this recipe, followed the instructions very carefully. The chicken was incredibly dry (I followed the cooking time), the sauce was really bland, and it did not taste good at all. I'll just make Parma Rosa pasta the regular way."
negative,I made these per the recipe and they came out either sponge-like or just leathery but not crispy. (The eggplant was slice very thin so it wasn't a matter of them being too thick.) We ended up just throwing them out.
negative,"This was way to much work. After the coconutstopped sticking I had to go to a back up of panko crumbs, which always taste great.You must be a coconut lover because the coconut overpowers the subtle flavor of the shrimp."
negative,I know that I'm in the minority but this recipe did not work out for me at all.I made 48 mini cupcakes and 12 regular sized with this recipe and they turned out hard as a rock and crumbly.I couldn't even get the paper wrappers off of them.I didn't care for the flavor. That might have been the cocoa I used but I tend to think not as it tastes great when I make Recipe #32204.I ended up throwing it all away and scraping my pans because of the overflow.This may turn out if you are making a pan cake but I do not recommend it for cupcakes.
negative,I am a baker and i tried these cookies last night and they were a total desaster. The dough was nice and they cooked up nice and fluffy in the oven but once i took them out to cool they went flatter than a pancake and to chewy. They flavor was nice while they were warm but when they got cold they were just a mess. I had high hopes for this recipe after reading all the wonderful post and rating but it was a desaster for me but I do plane to try this recipe again in the near future incase i may have done something wrong.
negative,"Instructions should be altered: ice cream would have been a lot better melted. I did some research online and found from other recipes instructing to use MELTED ice cream. I used ice cream straight from the freezer, and the dough was SO hard to work through! I ended up with some batter being doughy and some sludgy; it was very uneven. Will try that next time; I'm giving it a low rating because of the flawed instructions."
negative,We didn;t care for the taste of sour cream.
negative,this is ok. but I have an easier recipe: 4-6 chicken breasts and 2 cans of cream of mushroom soup. Dump into crockpot and cook on low for 6-8 hours.
negative,Sorry. We didn't like this at all.
negative,We baked this for 30 mins and it's still not done. Took more like 45 mins. The end result was only ok.
negative,"This was like an extremely dry scone.It had no personality, even when I used blueberry sauce (#186774) to help it out.Is something missing, or did I do something seriously amiss?It had a lot in common with a cinnamon-flavored hockey puck."
negative,"I'm afraid I didn't care for this one.It was easy enough, sure, and it smelled fabulous, but following the directions, I ended up with the texture of a kid's bouncy ball.Did I do something wrongly perhaps?Since I couldn't use panko, I had to use coarse matzo meal.Could that have something to do with the poor result?"
negative,"My family didn't like it.Mine was grainy maybe because I used 2%milk.Also, 4 -16oz bags of cheese is alot.I used 4- 8 oz bags and that was alot.It didn't turn out creamy."
negative,"I'm sorry but this came out awful. I put in all the ingredients, including the broth, but when I checked on it at 5.5 hours it was already burning! Unheard of for crockpot recipes. I added extra water (1.5 cups) and let it cook a bit longer.When it was finally done I put it over rice and veggies and we just didn't care for it at all. It was way too salty (broth + soy sauce?) and it didn't have a peanut flavor at all. I think the soy sauce really overpowered it.Sorry, I really wanted to like this!"
negative,one ingredient too many.
negative,"I substituted the flour with whole wheat flour, and omitted cocoa as I don't have any in hand; but the results was quite poor - the texture was extremely dry and hard, neither chewy nor soft and airy."
negative,"I was skeptical but intrigued at the same time so I gave it a try.We grind our own flour, both Hard and Soft wheat.For this recipe I decided to go with Soft.I followed the directions but omitted the brown sugar (acceptable per the instructions) because I was making a savory dish (Tomato Pie).I pre-baked for 5 minutes and tested the edge.I suspected it probably wouldn't hold together as it was so crumbly, almost powdery, but I wanted to follow it through.Poked holes in the bottom, made the pie and baked for about 30 minutes.I tested the edge again with the same results.Let the pie cool for almost an hour before we cut it and ate.It totally disintegrated in to a powdery mess in the pie.Thankfully, it didn't alter the flavor of the dish.This recipe may work best for sweet dishes with the addition of the brown sugar or other sweetener to melt/carmelize and help hold it together.Even though it didn't work for me, like I said, it didn't actually ruin the overall flavor of my dish so no harm done.Just wish I could give it better marks but thanks for sharing!"
positive,These were so so so good!!! I used green raisins and they turned out great!! Thanks for posting!!!
