Rating,Review
negative,"I don't know exactly what happened, but this came out really dry and dense for me."
negative,"This was terrible. We are NOT picky eaters and love almost everything, but this was not like any jambalaya we've ever eaten. I cooked according to directions except I was out of tomato paste, but I know that didn't alter the taste that much. The chicken was dry and the shrimp was flavorless. I think if the shrimp had been marinated in a cajun seasoning while the jambalaya was cooking, that might have solved that.Because I spent so much money on the chicken and the shrimp, I tried to doctor this up as best as I could so that all my money was not wasted. I ended up sauteeing some sausage and onions, topped with cajun seasoning, and mixed it in with the rice and jambalaya. We finished as much of it as we could, but will never use this crock pot recipe again."
negative,"Tastes like plain walnuts in a cookie. BLAND. I'm going to try to make them again and triple the amount of cocoa and sweetener. Otherwise, just bland and not very good. However, dipped in sugar free carb free caramel or marshmallow....."
negative,I fallowed the directions to a tee.. and I just did not like it. It was to bland for me.
negative,"I shredded my potatoes as others indicated, but was very disappointed in the results.The potatoes had very little flavor and stuck to the baking pan."
negative,"I just made this pie for Easter and am really disappointed.I followed the instructions EXACTLY. The inside of the pie was like runny pudding.I don't know what happened, but it was kind of embarassing when I cut into it with a room full of guests.The chocolate just oozed out everywhere. I won't be making this pie again."
negative,"This recipe did not come close to meeting my expectations. The pecan crust was much too oily and clumped together. I would imagine that baking it would have fair a little better than pan frying, but I'm not sure that I'm willing to try this recipe again to see."
negative,Way too much salt!!!
negative,"This stuff is fun, but borax is toxic (as little as a spoonful can be lethal to a small child or pet) so please be careful using this with children!!!!!See the MSDS on boric acid (which borax converts to in the body) here: http://www.jtbaker.com/msds/englishhtml/b3696.htm.20 Mule Team's MSDS is here (PDF form): http://www2.prosarcorp.com/msds_frame.asp?site_id=196andmsds_id=685andlang=en where they say you should use gloves when handling it, don't use it on skin that is not intact (the effect of using it on broken skin is similar to eating it) and warn of effects on unborn children and male reproductive organs if it's accidentally ingested, plus lots more health warnings."
negative,"My husband and I tried this recipe out and we were saddened by the results.The chicken didn't have much flavor at all, and was dry.I even added a bit of chicken stock because I was worried it might be dried out since there wasn't much liquid in there.The main probably was that you couldn't taste any of the spices from the hot sauce or from the chipotles.Not sure what went wrong.Hopefully someone else has better luck. "
negative,"Not sure what I did wrong.. I followed the recipe almost exactly, the only difference was I made buttermilk using the vinegar/milk trick. My cornbread came out flat (about an inch thick) and dense. Kind of like pound cake... ugg will not make again."
negative,"I made the cake with whole wheat flour.That may have been my first mistake.I don't know what I did wrong but this turned out to be the ugliest cake I have ever seen!The frosting was as thick as peanut butter.It was a weird cake, we ended up throwing most of it away."
negative,"I was looking for a splashy Easter dessert to serve, but I didn't like this cake.Extremely dense cake actually squeezed the frosting out of the layers it was so heavy.At 42 fat grams per serving, I didn't think the taste was worth the calories. Sorry!"
negative,"Sorry to be contrary, but as an experienced baker I found that these were NOT AMAZING at all!I followed the recipe as listed here. They were dense and tasted too heavily of matzo and not much else. I will continue to look for something that has more flavor and is a bit lighter."
negative,"Wow. I did NOT enjoy these shrimp AT ALL!I am SO disappointed!I doubled the recipe thinking I would LOVE the shrimp (based on the great reviews), but the spices were VERY overwhelming.There was also WAY to much heat for my tastes! Yikes!I will NOT be making these again!"
negative,This cake just didn't do it for me. No guilt and no taste! Sorry!
negative,"Our family loves Edamame and loves chinese-style stir dries, but no one liked the dish."
negative,"This was WAAAAYYY too much cream cheese. I even added extra corn, almost doubling the amount of corn and it was still too much. Disappointing, it sounded so good."
negative,"I followed this to the letter and I ended up with a bowel of goop. Tasty goop, but it was still goop"
negative,I was disappointed with this dish.The rice turned out too soft and the fish sauce overwhelmed the dish.The fishy taste lingered all night!
positive,"Excellant mashed potaotes , lots of flavour.Served them for Easter turkey dinner.Love the onion garlic combo, I was out of thyme and will try it next time and i will be making them again. Also left off the last drizzle of butter to save a few calories.Thanks for posting!!"
positive,This is so good!I did make a couple of changes inlcuding a pecan sandy cookie crust with about 1/4 cup toasted coconut and 1/4c. butter mixed with the cookie crumbs.I also substituted 1 tsp coconut extract for the almond. The rest I followed.I like the dense consistency of this type of cheesecake. I took it to Easter dinner and it was a big hit.
